RecordId , DateTime , Site , ButterflyCount , Lat , Lon , WalkStage
125, 11/2/2017 2:20:00 PM, Argyle Square, 0, -37.8022, 144.9662,"1_1_3"
126, 11/2/2017 2:20:00 PM, Argyle Square, 0, -37.8022, 144.9662,"2_1_3"
127, 11/2/2017 2:20:00 PM, Argyle Square, 0, -37.8022, 144.9662,"3_1_3"
128, 11/2/2017 2:20:00 PM, Argyle Square, 0, -37.8022, 144.9662,"4_1_3"
129, 11/2/2017 2:23:00 PM, Argyle Square, 0, -37.8022, 144.9662,"1_1_3"
130, 11/2/2017 2:23:00 PM, Argyle Square, 0, -37.8022, 144.9662,"2_1_3"
131, 11/2/2017 2:23:00 PM, Argyle Square, 0, -37.8022, 144.9662,"3_1_3"
132, 11/2/2017 2:23:00 PM, Argyle Square, 0, -37.8022, 144.9662,"4_1_3"
133, 15/1/2017 9:56:00 AM, Argyle Square, 0, -37.8024, 144.9663,"1_1_3"
134, 15/1/2017 9:56:00 AM, Argyle Square, 0, -37.8024, 144.9663,"2_1_3"
135, 15/1/2017 9:56:00 AM, Argyle Square, 0, -37.8024, 144.9663,"3_1_3"
136, 15/1/2017 9:56:00 AM, Argyle Square, 0, -37.8024, 144.9663,"4_1_3"
137, 15/1/2017 10:12:00 AM, Argyle Square, 0, -37.8023, 144.9662,"1_1_3"
138, 15/1/2017 10:12:00 AM, Argyle Square, 0, -37.8023, 144.9662,"2_1_3"
139, 15/1/2017 10:12:00 AM, Argyle Square, 0, -37.8023, 144.9662,"3_1_3"
140, 15/1/2017 10:12:00 AM, Argyle Square, 0, -37.8023, 144.9662,"4_1_3"
141, 15/1/2017 10:26:00 AM, Argyle Square, 0, -37.8024, 144.9663,"1_1_3"
142, 15/1/2017 10:26:00 AM, Argyle Square, 0, -37.8024, 144.9663,"2_1_3"
143, 15/1/2017 10:26:00 AM, Argyle Square, 0, -37.8024, 144.9663,"3_1_3"
144, 15/1/2017 10:26:00 AM, Argyle Square, 0, -37.8024, 144.9663,"4_1_3"
145, 15/1/2017 10:39:00 AM, Argyle Square, 0, -37.8023, 144.9663,"1_1_3"
146, 15/1/2017 10:39:00 AM, Argyle Square, 0, -37.8023, 144.9663,"2_1_3"
147, 15/1/2017 10:39:00 AM, Argyle Square, 0, -37.8023, 144.9663,"3_1_3"
148, 15/1/2017 10:39:00 AM, Argyle Square, 0, -37.8023, 144.9663,"4_1_3"
149, 15/1/2017 10:55:00 AM, Argyle Square, 0, -37.8024, 144.9664,"1_1_3"
150, 15/1/2017 10:55:00 AM, Argyle Square, 0, -37.8024, 144.9664,"2_1_3"
151, 15/1/2017 10:55:00 AM, Argyle Square, 0, -37.8024, 144.9664,"3_1_3"
152, 15/1/2017 10:55:00 AM, Argyle Square, 0, -37.8024, 144.9664,"4_1_3"
153, 15/1/2017 11:13:00 AM, Argyle Square, 0, -37.8023, 144.9664,"1_1_3"
154, 15/1/2017 11:13:00 AM, Argyle Square, 0, -37.8023, 144.9664,"2_1_3"
155, 15/1/2017 11:13:00 AM, Argyle Square, 0, -37.8023, 144.9664,"3_1_3"
156, 15/1/2017 11:13:00 AM, Argyle Square, 0, -37.8023, 144.9664,"4_1_3"
157, 15/1/2017 11:29:00 AM, Argyle Square, 0, -37.8023, 144.9663,"1_1_3"
158, 15/1/2017 11:29:00 AM, Argyle Square, 0, -37.8023, 144.9663,"2_1_3"
159, 15/1/2017 11:29:00 AM, Argyle Square, 0, -37.8023, 144.9663,"3_1_3"
160, 15/1/2017 11:29:00 AM, Argyle Square, 0, -37.8023, 144.9663,"4_1_3"
161, 15/1/2017 12:33:00 PM, Argyle Square, 1, -37.8027, 144.9662,"1_1_3"
162, 15/1/2017 12:33:00 PM, Argyle Square, 1, -37.8027, 144.9662,"2_1_3"
163, 15/1/2017 12:33:00 PM, Argyle Square, 0, -37.8027, 144.9662,"3_1_3"
164, 15/1/2017 12:33:00 PM, Argyle Square, 0, -37.8027, 144.9662,"4_1_3"
165, 15/1/2017 12:56:00 PM, Argyle Square, 0, -37.8026, 144.9662,"1_1_3"
166, 15/1/2017 12:56:00 PM, Argyle Square, 1, -37.8026, 144.9662,"2_1_3"
167, 15/1/2017 12:56:00 PM, Argyle Square, 0, -37.8026, 144.9662,"3_1_3"
168, 15/1/2017 12:56:00 PM, Argyle Square, 0, -37.8026, 144.9662,"4_1_3"
169, 15/1/2017 1:15:00 PM, Argyle Square, 0, -37.8027, 144.9663,"1_1_3"
170, 15/1/2017 1:15:00 PM, Argyle Square, 0, -37.8027, 144.9663,"2_1_3"
171, 15/1/2017 1:15:00 PM, Argyle Square, 0, -37.8027, 144.9663,"3_1_3"
172, 15/1/2017 1:15:00 PM, Argyle Square, 0, -37.8027, 144.9663,"4_1_3"
173, 15/1/2017 1:34:00 PM, Argyle Square, 0, -37.8024, 144.9663,"1_1_3"
174, 15/1/2017 1:34:00 PM, Argyle Square, 1, -37.8024, 144.9663,"2_1_3"
175, 15/1/2017 1:34:00 PM, Argyle Square, 0, -37.8024, 144.9663,"3_1_3"
176, 15/1/2017 1:34:00 PM, Argyle Square, 0, -37.8024, 144.9663,"4_1_3"
177, 15/1/2017 1:49:00 PM, Argyle Square, 0, -37.8026, 144.9663,"1_1_3"
178, 15/1/2017 1:49:00 PM, Argyle Square, 0, -37.8026, 144.9663,"2_1_3"
179, 15/1/2017 1:49:00 PM, Argyle Square, 0, -37.8026, 144.9663,"3_1_3"
180, 15/1/2017 1:49:00 PM, Argyle Square, 0, -37.8026, 144.9663,"4_1_3"
181, 15/1/2017 2:05:00 PM, Argyle Square, 0, -37.8026, 144.9662,"1_1_3"
